"ADDRESS","BALANCE"
"0xE609Ae8A7d31C4c424Cfaf913569Ba1b7Fc45191","-0.032979316385638446"
"0x1D7ea0ec6eea38f26133B80E8aE1a6c609E10675","-0.00752771857735135"
"0x3a8862066d73c63Ead13449133eAF02A9cE40062","-0.03406123638486558"
"0x4eDf49739ad6685a5a5792f27325c10eE26985C0","0.004790894724584049"
"0x3b5403d05bC0aE45a23C3A844cF3B9018eAaf275","-0.03270759745233354"
"0x94e4c8f1A8715736939073b1eE6854c9fc8eEB9a","-0.04668701035415079"
"0x3a5D3716fF00E6c6109b3b51F76740bbc045a317","-0.0460613011565465"
"0xf407C7D02f8A920699d643337cddb7F8fDE4350C","-0.034143467577383735"
"0xfb9cf63b89079E5dc5BC72223Ad75AF5Be9eB984","-0.007946669081700053"
"0x2980D235578A757714E8Ac76eea2070C92E2Bd02","-0.0332041148497525"
"0xEB31214D230B635b740226647013D11f3f6cccFe","-0.007231408855492116"
"0xAe565d4b58953E84366370192591CdEd39458d11","0.004885663696116094"
"0x67B039287e08f5344Bb8C03de5a3b7DDf7A1B2d6","-0.007829046581386612"
"0x9E951c33288091528eB72d6a883dD06105edA20F","-0.03302826192811059"
"0x32ca0649aD9eD009989089730c73701D0E1cc4A1","-0.019747319244347472"
"0x56D870E6D13DDDff8abE6c6A43C322B817965Ec2","-0.007724811910579277"
"0x42EA09e76FC29520D79ce096302bc33E13Ba90d9","-0.007687255551786287"
"0xAFd8A882CC4c87c650BA851Fdd886DEc51f3C183","-0.020411145879826176"
"0xb9C0b4b95320B96B22B112F6BB74061eb6cee2C1","-0.006963464625105886"
"0x961746AB8e9fECb6e47AF09513D9c6264536D4Fa","-0.008286276107916324"
"0xD1CD2847a9Cf616d8c7dCCF3f81fc00C72c829ac","-0.020622543051110553"
"0xE645547B4F2Bf594ffcb19a8D26CAA702c3F98AA","-0.021079762577687622"
"0x5D8b49D5B66eE69D04c6DE8E866BE75187A6615F","-0.018659067125447293"
"0x11185f5A01F3617b800c859FeA847938D922EC69","0.017695973694944245"
"0xAE34904D1BE12B81980656a675eDc0a89a9f1279","0.0046718411954028705"
"0x93E02E2fF365D7bd37D401038656e1eDa11c8076","-0.019741139625445436"
"0xb52b61e83848e352aD8Cd1031CAdF491102459bC","-0.020020450816876423"
"0xa836228C1e7A536FeF3335B8B7F38A35F59B2272","-0.019287612679915744"
"0x8Bf00a4102c144B6926d43C3631e2DD86E1a8c92","-0.03319221312114429"
