"action","address","fee"
"REQUEST_VOTE","0x85eAf7593cB72C5C4e04335A7719A90937b09a98","0.000177860000640296"
"VOTE","0x85eAf7593cB72C5C4e04335A7719A90937b09a98","0.000397870001432332"
"REQUEST_VOTE","0x85eAf7593cB72C5C4e04335A7719A90937b09a98","0.000997995005588772"
"VOTE","0x85eAf7593cB72C5C4e04335A7719A90937b09a98","0.000184797500960947"
"REQUEST_VOTE","0xFc3a66d01c2354877c7a3aa71709c0Bd9f1A4ED6","0.000799717504158531"
"VOTE","0xFc3a66d01c2354877c7a3aa71709c0Bd9f1A4ED6","0.0001846250010339"
"REQUEST_VOTE","0x00fFF05997eE97076FBC471E52d6052530722968","0.00017786000106716"
"VOTE","0x00fFF05997eE97076FBC471E52d6052530722968","0.00014187500085125"
"REQUEST_VOTE","0x0b02FEaB621E0EDcCf70a535965282DaB022d429","0.0007632000045792"
"VOTE","0x0b02FEaB621E0EDcCf70a535965282DaB022d429","0.00152047000912282"
"REQUEST_VOTE","0x01EcF7BC2AF0a56750dCe9F2a6161353c75F8325","0.00598473003590838"
"VOTE","0x01EcF7BC2AF0a56750dCe9F2a6161353c75F8325","0.01715453760978904"
"REQUEST_VOTE","0x362A0c9fD2504fD8B697B29ddB1c549bFcF31D1F","0.000177860001138304"
"VOTE","0x362A0c9fD2504fD8B697B29ddB1c549bFcF31D1F","0.000141875000908"
"REQUEST_VOTE","0x5569CB68196Fc34DEDc2BEfEc6C890c146DA2ddf","0.000177860001138304"
"VOTE","0x5569CB68196Fc34DEDc2BEfEc6C890c146DA2ddf","0.000688992503858358"
"REQUEST_VOTE","0xACB6d84804D4f9DFf3Fd25405135a7D77d2B2F29","0.000266412501385345"
"VOTE","0xACB6d84804D4f9DFf3Fd25405135a7D77d2B2F29","0.000230565001198938"
"REQUEST_VOTE","0xD68C9E7a9C3D99aB8A151ddf9297671F3F8773F1","0.000266412501172215"
"VOTE","0xD68C9E7a9C3D99aB8A151ddf9297671F3F8773F1","0.00073750250295001"
"REQUEST_VOTE","0x64f27ea0F760dE44aFB89bA4Ef4F6B498185e365","0.000177860000782584"
"VOTE","0x64f27ea0F760dE44aFB89bA4Ef4F6B498185e365","0.01218070005359508"
