"Ora","Age","Language","index1","_","answer_1_1","_","answer_1_2","_","answer_1_3","_","index2","_","answer_2_1","_","answer_2_2","_","answer_2_3","_"
"2022/01/24 9:24:22 PM CET","55-64","Italiano","1","","Fake","","","","","","1","","Reale","","","","",""
"2022/01/25 11:58:00 AM CET","18-24","Italiano","2","","","Opinione","","","","","3","","","","Reale","","",""
"2022/01/25 1:00:23 PM CET","18-24","Italiano","1","","Fake","","","","","","3","","","","Fake","","",""
"2022/01/25 1:10:50 PM CET","55-64","Italiano","1","","Fake","","","","","","1","","Opinione","","","","",""
"2022/01/25 1:13:08 PM CET","45-54","Italiano","1","","Reale","","","","","","2","","","Fake","","","",""
"2022/01/25 1:15:37 PM CET","45-54","Italiano","3","","","","Fake","","","","1","","Fake","","","","",""
"2022/01/25 1:15:44 PM CET","45-54","Italiano","3","","","","Fake","","","","1","","Fake","","","","",""
"2022/01/25 1:37:13 PM CET","25-34","Italiano","3","","","","Reale","","","","1","","Opinione","","","","",""
"2022/01/25 8:42:37 PM CET","55-64","Italiano","2","","","Reale","","","","","1","","Fake","","","","",""
"2022/01/25 10:57:58 PM CET","55-64","Italiano","2","","","Reale","","","","","1","","Fake","","","","",""
"2022/01/26 1:02:30 PM CET","55-64","Italiano","1","","Reale","","","","","","1","","Fake","","","","",""
"2022/01/26 5:38:14 PM CET","45-54","Italiano","3","","","","Reale","","","","1","","Opinione","","","","",""
"2022/01/26 10:27:46 PM CET","25-34","Italiano","1","","Reale","","","","","","1","","Fake","","","","",""
"2022/01/28 3:23:52 PM CET","45-54","Italiano","1","","Fake","","","","","","3","","","","Fake","","",""
"2022/01/28 3:24:24 PM CET","55-64","Italiano","2","","","Opinione","","","","","2","","","Reale","","","",""
"2022/01/28 3:24:51 PM CET","18-24","Italiano","3","","","","Reale","","","","1","","Fake","","","","",""
"2022/01/28 3:25:17 PM CET","45-54","Italiano","2","","","Opinione","","","","","1","","Fake","","","","",""
"2022/01/28 3:26:06 PM CET","45-54","Italiano","1","","Fake","","","","","","1","","Fake","","","","",""
"2022/01/28 3:26:41 PM CET","55-64","Italiano","3","","","","Reale","","","","2","","","Reale","","","",""
"2022/01/28 3:27:13 PM CET","35-44","Italiano","2","","","Opinione","","","","","3","","","","Fake","","",""
"2022/01/28 3:28:32 PM CET","25-34","Italiano","3","","","","Reale","","","","1","","Fake","","","","",""
"2022/01/28 3:29:20 PM CET","25-34","Italiano","2","","","Opinione","","","","","3","","","","Fake","","",""
"2022/01/28 3:30:21 PM CET","25-34","Italiano","2","","","Opinione","","","","","2","","","Reale","","","",""
"2022/01/28 3:30:44 PM CET","25-34","Italiano","1","","Fake","","","","","","3","","","","Fake","","",""
"2022/01/28 3:31:16 PM CET","35-44","Italiano","3","","","","Reale","","","","3","","","","Fake","","",""
"2022/01/28 3:31:53 PM CET","18-24","Italiano","2","","","Opinione","","","","","2","","","Reale","","","",""
"2022/01/28 3:32:55 PM CET","55-64","Italiano","1","","Fake","","","","","","3","","","","Fake","","",""
"2022/01/28 3:33:26 PM CET","18-24","Italiano","2","","","Opinione","","","","","3","","","","Fake","","",""
"2022/01/28 3:34:45 PM CET","45-54","Italiano","3","","","","Reale","","","","3","","","","Fake","","",""
"2022/01/28 3:35:20 PM CET","45-54","Italiano","2","","","Opinione","","","","","3","","","","Fake","","",""
"2022/01/28 3:35:39 PM CET","25-34","Italiano","1","","Fake","","","","","","3","","","","Fake","","",""
"2022/01/28 3:36:01 PM CET","25-34","Italiano","2","","","Opinione","","","","","3","","","","Fake","","",""
"2022/01/28 3:36:25 PM CET","35-44","Italiano","3","","","","Reale","","","","3","","","","Fake","","",""
"2022/01/28 3:38:38 PM CET","18-24","Italiano","1","","Fake","","","","","","3","","","","Fake","","",""
"2022/01/28 3:39:00 PM CET","45-54","Italiano","2","","","Opinione","","","","","2","","","Reale","","","",""
"2022/01/28 3:39:42 PM CET","45-54","Italiano","3","","","","Reale","","","","3","","","","Fake","","",""
"2022/01/28 3:40:10 PM CET","18-24","Italiano","1","","Fake","","","","","","2","","","Reale","","","",""
"2022/01/28 3:40:41 PM CET","25-34","Italiano","2","","","Opinione","","","","","3","","","","Fake","","",""
"2022/01/28 3:41:20 PM CET","25-34","Italiano","3","","","","Reale","","","","2","","","Reale","","","",""
"2022/01/28 3:41:45 PM CET","55-64","Italiano","1","","Fake","","","","","","3","","","","Fake","","",""
"2022/01/29 1:19:37 AM CET","25-34","Italiano","2","","","Reale","","","","","1","","Fake","","","","",""
"2022/02/03 9:41:52 AM CET","35-44","Italiano","1","","Reale","","","","","","1","","Fake","","","","",""
"2022/01/22 12:02:12 PM CET","18-24","Italiano","1","","Fake","","","","","","2","","","Reale","","","",""
